Park,Name,ShortName,Region,State,Year,Month,Date,Camping Type,Campers
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,6,Jun 1 2015,Tent,20187
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,6,Jun 1 2015,RV,4776
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,6,Jun 1 2015,Backcountry,222
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,7,Jul 1 2015,Tent,36642
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,7,Jul 1 2015,RV,7992
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,7,Jul 1 2015,Backcountry,310
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,8,Aug 1 2015,Tent,36042
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,8,Aug 1 2015,RV,7902
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,8,Aug 1 2015,Backcountry,332
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,9,Sep 1 2015,Tent,23814
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,9,Sep 1 2015,RV,7206
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,9,Sep 1 2015,Backcountry,241
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,10,Oct 1 2015,Tent,8067
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,10,Oct 1 2015,RV,2481
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,10,Oct 1 2015,Backcountry,84
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,11,Nov 1 2015,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,11,Nov 1 2015,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,11,Nov 1 2015,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,12,Dec 1 2015,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,12,Dec 1 2015,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2015,12,Dec 1 2015,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,1,Jan 1 2016,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,1,Jan 1 2016,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,1,Jan 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,2,Feb 1 2016,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,2,Feb 1 2016,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,2,Feb 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,3,Mar 1 2016,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,3,Mar 1 2016,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,3,Mar 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,4,Apr 1 2016,Tent,885
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,4,Apr 1 2016,RV,168
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,4,Apr 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,5,May 1 2016,Tent,10521
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,5,May 1 2016,RV,1854
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,5,May 1 2016,Backcountry,38
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,6,Jun 1 2016,Tent,25488
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,6,Jun 1 2016,RV,7938
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,6,Jun 1 2016,Backcountry,303
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,7,Jul 1 2016,Tent,39942
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,7,Jul 1 2016,RV,11757
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,7,Jul 1 2016,Backcountry,353
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,8,Aug 1 2016,Tent,40557
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,8,Aug 1 2016,RV,11649
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,8,Aug 1 2016,Backcountry,381
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,9,Sep 1 2016,Tent,23148
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,9,Sep 1 2016,RV,10044
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,9,Sep 1 2016,Backcountry,249
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,10,Oct 1 2016,Tent,12270
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,10,Oct 1 2016,RV,3219
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,10,Oct 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,11,Nov 1 2016,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,11,Nov 1 2016,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,11,Nov 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,12,Dec 1 2016,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,12,Dec 1 2016,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2016,12,Dec 1 2016,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,1,Jan 1 2017,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,1,Jan 1 2017,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,1,Jan 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,2,Feb 1 2017,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,2,Feb 1 2017,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,2,Feb 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,3,Mar 1 2017,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,3,Mar 1 2017,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,3,Mar 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,4,Apr 1 2017,Tent,594
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,4,Apr 1 2017,RV,195
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,4,Apr 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,5,May 1 2017,Tent,10827
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,5,May 1 2017,RV,3213
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,5,May 1 2017,Backcountry,298
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,6,Jun 1 2017,Tent,24372
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,6,Jun 1 2017,RV,9360
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,6,Jun 1 2017,Backcountry,298
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,7,Jul 1 2017,Tent,39429
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,7,Jul 1 2017,RV,12642
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,7,Jul 1 2017,Backcountry,325
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,8,Aug 1 2017,Tent,39864
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,8,Aug 1 2017,RV,11874
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,8,Aug 1 2017,Backcountry,336
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,9,Sep 1 2017,Tent,27054
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,9,Sep 1 2017,RV,13554
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,9,Sep 1 2017,Backcountry,253
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,10,Oct 1 2017,Tent,10446
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,10,Oct 1 2017,RV,4974
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,10,Oct 1 2017,Backcountry,87
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,11,Nov 1 2017,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,11,Nov 1 2017,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,11,Nov 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,12,Dec 1 2017,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,12,Dec 1 2017,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2017,12,Dec 1 2017,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,1,Jan 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,1,Jan 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,1,Jan 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,2,Feb 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,2,Feb 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,2,Feb 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,3,Mar 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,3,Mar 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,3,Mar 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,4,Apr 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,4,Apr 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,4,Apr 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,5,May 1 2018,Tent,11325
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,5,May 1 2018,RV,3912
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,5,May 1 2018,Backcountry,126
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,6,Jun 1 2018,Tent,25626
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,6,Jun 1 2018,RV,10479
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,6,Jun 1 2018,Backcountry,323
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,7,Jul 1 2018,Tent,37218
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,7,Jul 1 2018,RV,12723
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,7,Jul 1 2018,Backcountry,345
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,8,Aug 1 2018,Tent,37923
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,8,Aug 1 2018,RV,12579
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,8,Aug 1 2018,Backcountry,345
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,9,Sep 1 2018,Tent,25128
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,9,Sep 1 2018,RV,14097
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,9,Sep 1 2018,Backcountry,271
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,10,Oct 1 2018,Tent,7524
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,10,Oct 1 2018,RV,4425
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,10,Oct 1 2018,Backcountry,62
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,11,Nov 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,11,Nov 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,11,Nov 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,12,Dec 1 2018,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,12,Dec 1 2018,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2018,12,Dec 1 2018,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,1,Jan 1 2019,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,1,Jan 1 2019,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,1,Jan 1 2019,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,2,Feb 1 2019,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,2,Feb 1 2019,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,2,Feb 1 2019,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,3,Mar 1 2019,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,3,Mar 1 2019,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,3,Mar 1 2019,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,4,Apr 1 2019,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,4,Apr 1 2019,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,4,Apr 1 2019,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,5,May 1 2019,Tent,10416
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,5,May 1 2019,RV,3327
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,5,May 1 2019,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,6,Jun 1 2019,Tent,23721
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,6,Jun 1 2019,RV,10383
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,6,Jun 1 2019,Backcountry,263
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,7,Jul 1 2019,Tent,36135
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,7,Jul 1 2019,RV,11853
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,7,Jul 1 2019,Backcountry,357
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,8,Aug 1 2019,Tent,39093
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,8,Aug 1 2019,RV,11637
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,8,Aug 1 2019,Backcountry,396
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,9,Sep 1 2019,Tent,22425
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,9,Sep 1 2019,RV,15174
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2019,9,Sep 1 2019,Backcountry,185
